WORD	SPEECH TAG 
boosi	PRON
balaangwa	V
barure	V
,	PUNC
mala	ADP
batimania	V
Bamidiani	NN
.	PUNC
Gidioni	NN
aruma	V
barume	NN
mu	ADP
ngule	NN
cha	ADP
Efuraimu	NN
choosi	PRON
khuboola	V
ali	ADP
,	PUNC
''	PUNC
Yiikha	V
mwiche	V
mupane	V
ne	ADP
Bamidiani	NN
.	PUNC
Tiila	V
kamafubukho	NN
ke	ADP
luluuchi	NN
lwa	ADP
Yoritani	NN
ne	CONJ
chinjichi	NN
khukhwola	ADP
e	ADP
Beti	NN
_	PUNC
bara 	V
khuliinda	V
Bamidiani	NN
bakhambukha	V
tawe	DET
.	PUNC
""""	PUNC
Baefuraimu	NN
be	ADP
siseecha	ADJ
balaangwa	V
alala	ADV
,	PUNC
mala	ADP
batiila	V
luluuchi	NN
lwa	ADP
Yoritani	NN
ne	CONJ
chinjichi	NN
khukhwola	ADP
Beti	NN
_	PUNC
bara	V
.	PUNC
Baamba	V
babaami	NN
babii	ADJ
ba	ADP
Midiani	NN
Orebu	NN
ne	CONJ
Seebu	NN
,	PUNC
berera	V
Orebu	NN
a	ADP
lwanda	NN
lwa	ADP
Orebu	NN
,	PUNC
ne	CONJ
Seebu	NN
niio	ADP
bakhamululilanga	V
Endali	NN
eya	ADP
Seebu	NN
.	PUNC
Bachiililila	V
khutimania	V
Bamidiani	NN
.	PUNC
Bareera	V
kimirwe	NN
kia 	ADP
orebu	NN
ne	CONJ
seebu	NN
khu	ADP
Gidioni	NN
owaba	V
ne	ADP
ali	V
ebukwe	NN
owa	ADP
Yoritani	NN
.	PUNC
