WORD	SPEECH TAG
luuchi	NN
lwa	ADP
Kishoni	NN
.	PUNCT
Nio	ADP
Debora	NN
aboolela	V
Baraka	NN
ali	ADP
,	PUNCT
""""	PUNCT
Cha	V
!	PUNCT
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
alikho	V
akhurangirira	V
ewe	PRON
.	PUNCT
Endaalo	NN
yino	DET
olaula	V
Sisera	NN
.	PUNCT
""""	PUNCT
Nono	ADP
,	PUNCT
Baraka	NN
arekukha	V
Ekhalanga	NN
khukhwama	ADP
khu	ADP
sikulu	NN
sia	ADP
Tabori	NN
ne	CONJ
babaandu	NN
bewe	DET
chielefu	NN
likhumi	ADJ
.	PUNCT
Nga	ADP
Baraka	NN
ne	CONJ
banamae	NN
bewe	DET
ne	CONJ
bebwaakala	NN
,	PUNCT
Wele	NN
Omunyali	NN
owa	ADP
Bioosi	NN
akoyaania	V
Sisera	NN
alala	ADV
ne	CONJ
babaandu	NN
bewe	DET
be	ADP
kamakaari	NN
ke	ADP
mwiie	NN
.	PUNCT
Sisera	NN
Ekhalanga	NN
arura	V
mu	ADP
likaari	NN
liewe	DET
mala	ADP
atima	V
ne	CONJ
bikele	NN
elukha	V
.	PUNCT
Baraka	NN
atimania	V
kamakaari	NN
ne	CONJ
banamae	NN
khukhwola	ADP
Harosheti	NN
-	PUNCT
hakoimu	NN
mala	ADP
banamae	NN
ba	ADP
Sisera	NN
boosi	ADJ
berwa	V
,	PUNCT
se	ADP
aliio	V
omundu	NN
owarama	V
tawe	ADP
.	PUNCT
Sisera	NN
elukha	V
acha	V
engila	V
mu	ADP
liiema	NN
lia	ADP
Yaeli	NN
.	PUNCT
Yaeli	NN
aba	V
mukhasi	NN
Heberi	NN
omukenayi	ADJ
.	PUNCT
Sisera	NN
engila	V
mu	ADP
liiema	NN
lia	ADP
Yaeli	NN
sikila	CONJ
omwami	NN
Yabini	NN
owa	ADP
Hasori	NN
aba	V
ne	ADP
kumuleembe	NN
nende	CONJ
enju	NN
eya	ADP
Heberi	NN
.	PUNCT
Yaeli	NN
arura	V
acha	V
akaanila	V
Sisera	NN
mala	ADP
amuboolela	V
ali	ADP
,	PUNCT
""""	PUNCT
Omwami	NN
yicha	V
mu	ADP
lieema	NN
liase	DET
okharia	V
tawe	ADP
.	PUNCT
""""	PUNCT
Nio	ADP
echa	V
engila	V
mala	ADP
Yaeli	NN
amubiimba	V
liruungeeti	NN
.	PUNCT
Sisera	NN
aboolela	V
Yaeli	NN
ali	ADP
,	PUNCT
""""	PUNCT
Ndikho	V
mbulila	V
bulesia	NN
nosiima	V
mbekho	V
kameechi	NN
enywe	V
.	PUNCT
""""	PUNCT
Yaeli	NN
afuula	V
eoochwa	NN
eye	ADP
lisieelo	NN
eye	ADP
kamabeele	NN
amua	V
anywa	V
mala	ADP
amufunikha	V
lundi	ADV
.	PUNCT
Nono	ADP
Sisera	NN
amuboolela	V
ali	ADP
,	PUNCT
""""	PUNCT
Yiima	V
amuliango	NN
kwe	ADP
liiema	NN
ne	CONJ
omundu	NN
yesi	DET
yesi	DET
neecha	v
ne	CONJ
akhureeba	V
ali	ADP
,	PUNCT
""""	PUNCT
Naanu	ADP
oli	V
muno	DET
?	PUNCT
Muboolele	V
oli	ADP
mundumo	PRON
tawe	ADP
.	PUNCT
""""	PUNCT
Sisera	NN
aba	V
aluile	V
lukali	ADV
,	PUNCT
liilo	NN
liamuaamba	V
.	PUNCT
Nio	ADP
Yaeli	NN
abukula	V
enyundo	NN
ne	CONJ
sichaangi	NN
sie	ADP
liiema	NN
,	PUNCT
amuchao	V
mala	ADP
amwiira	V
khulwe	ADP
khumukhoma	V
sichaangi	NN
.	PUNCT
Akhoma	V
siabira	V
mu	ADP
siaanga	NN
siengila	V
mwiloba	NN
.	PUNCT
Nga	ADP
Baraka	NN
ne	ADP
echa	V
ne	ADP
alikho	V
ayiima	V
Sisera	NN
,	PUNCT
Yaeli	NN
aryra	V
acha	V
amwakaanila	V
,	PUNCT
mala	ADP
amuboolela	V
ali	ADP
,	PUNCT
""""	PUNCT
Yiicha	V
ano	DET
!	PUNCT
Ndakhwekesia	V
omundu	NN
niye	ADP
olikho	V
oyiima	V
.	PUNCT
""""	PUNCT
Nio	ADP
Baraka	NN
engila	V
mwiiema	NN
anyoola	V
Sisera	NN
afwiile	V
.	PUNCT
Sichaangi	NN
sia	ADP
liiema	NN
siaba	V
siabirire	V
mu	ADP
murwe	NN
kwewe	DET
.	PUNCT
Endaalo	NN
eyo	DET
Wele	NN
aelesia	V
Baisiraeli	NN
bukhili	V
khu	ADP
Yabini	NN
omwami	NN
owe	ADP
Bakanaani	NN
.	PUNCT
Baisiraeli	NN
bachiililila	V
khuloondelesia	V
Yabini	NN
,	PUNCT
omwami	NN
owa	ADP
Kanaani	NN
khukhwola	ADP
nga	ADP
bamubunia	V
.	
